GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
traceability-solicitudes-service,com.traceability.solicitudes.infrastructure.persistence.inmemory,InMemorySolicitudRepository,65,0,2,0,12,0,8,0,7,0
traceability-solicitudes-service,com.traceability.solicitudes.infrastructure.persistence.inmemory,InMemoryFileRepository,40,0,0,0,8,0,5,0,5,0
traceability-solicitudes-service,com.traceability.solicitudes.infrastructure.cache,RedisCacheConfig,29,0,0,0,11,0,2,0,2,0
traceability-solicitudes-service,com.traceability.solicitudes.infrastructure.cache,InMemoryCacheConfig,17,0,0,0,2,0,2,0,2,0
traceability-solicitudes-service,com.traceability.solicitudes.infrastructure.cache,CaffeineCacheConfig,51,0,0,0,10,0,2,0,2,0
traceability-solicitudes-service,com.traceability.solicitudes.infrastructure.security,SecurityConfig,136,0,6,0,27,0,12,0,9,0
traceability-solicitudes-service,com.traceability.solicitudes.infrastructure.security,JwtRoleConverter,44,0,6,0,11,0,6,0,3,0
traceability-solicitudes-service,com.traceability.solicitudes.domain.exception,DomainValidationException,0,4,0,0,0,2,0,1,0,1
traceability-solicitudes-service,com.traceability.solicitudes.domain.exception,SolicitudNotFoundException,0,6,0,0,0,2,0,1,0,1
traceability-solicitudes-service,com.traceability.solicitudes.domain.model,SolicitudEstado,0,33,0,0,0,6,0,1,0,1
traceability-solicitudes-service,com.traceability.solicitudes.domain.model,Solicitud,0,93,0,6,0,24,0,14,0,11
traceability-solicitudes-service,com.traceability.solicitudes.domain.model,MetricaResumen,0,27,0,0,0,10,0,5,0,5
traceability-solicitudes-service,com.traceability.solicitudes.domain.model,ArchivoAdjunto,0,71,0,6,0,21,0,12,0,9
traceability-solicitudes-service,com.traceability.solicitudes.domain.service,SolicitudDomainService,0,63,5,15,0,15,5,8,0,3
traceability-solicitudes-service,com.traceability.solicitudes,SolicitudesApplication,8,0,0,0,3,0,2,0,2,0
traceability-solicitudes-service,com.traceability.solicitudes.infrastructure.integration,NotificationIntegrationConfig,21,0,0,0,5,0,4,0,4,0
traceability-solicitudes-service,com.traceability.solicitudes.infrastructure.integration,InMemoryAuditLogAdapter.AuditEntry,12,0,0,0,1,0,1,0,1,0
traceability-solicitudes-service,com.traceability.solicitudes.infrastructure.integration,InMemoryAuditLogAdapter,24,0,0,0,5,0,3,0,3,0
traceability-solicitudes-service,com.traceability.solicitudes.infrastructure.integration,LoggingNotificationAdapter,25,0,0,0,4,0,3,0,3,0
traceability-solicitudes-service,com.traceability.solicitudes.infrastructure.integration,MailSmtpNotificationAdapter,37,0,0,0,11,0,2,0,2,0
traceability-solicitudes-service,com.traceability.solicitudes.infrastructure.resilience,Resilience4jConfig,3,0,0,0,1,0,1,0,1,0
traceability-solicitudes-service,com.traceability.solicitudes.presentation.mapper,SolicitudDtoMapper,31,0,0,0,10,0,3,0,3,0
traceability-solicitudes-service,com.traceability.solicitudes.presentation.mapper,MetricsDtoMapper,15,0,0,0,6,0,2,0,2,0
traceability-solicitudes-service,com.traceability.solicitudes.presentation.mapper,FileDtoMapper,17,0,0,0,7,0,2,0,2,0
traceability-solicitudes-service,com.traceability.solicitudes.infrastructure.persistence.jpa,JpaFileRepositoryAdapter,30,0,0,0,8,0,4,0,4,0
traceability-solicitudes-service,com.traceability.solicitudes.infrastructure.persistence.jpa,JpaAuditLogAdapter,19,0,0,0,5,0,2,0,2,0
traceability-solicitudes-service,com.traceability.solicitudes.infrastructure.persistence.jpa,JpaSolicitudRepositoryAdapter,51,0,0,0,13,0,6,0,6,0
traceability-solicitudes-service,com.traceability.solicitudes.infrastructure.storage,S3FileStorageAdapter,56,0,0,0,19,0,3,0,3,0
traceability-solicitudes-service,com.traceability.solicitudes.infrastructure.storage,InMemoryFileStorageAdapter,32,0,2,0,8,0,4,0,3,0
traceability-solicitudes-service,com.traceability.solicitudes.infrastructure.storage,S3StorageConfig,58,0,0,0,15,0,3,0,3,0
traceability-solicitudes-service,com.traceability.solicitudes.utils,OpenApiConfig,17,0,0,0,6,0,2,0,2,0
traceability-solicitudes-service,com.traceability.solicitudes.infrastructure.web,GlobalExceptionHandler,52,0,0,0,14,0,5,0,5,0
traceability-solicitudes-service,com.traceability.solicitudes.infrastructure.web,AsyncConfig,3,0,0,0,1,0,1,0,1,0
traceability-solicitudes-service,com.traceability.solicitudes.infrastructure.config,InfrastructureConfig,3,0,0,0,1,0,1,0,1,0
traceability-solicitudes-service,com.traceability.solicitudes.infrastructure.config,MailProperties,9,0,0,0,1,0,1,0,1,0
traceability-solicitudes-service,com.traceability.solicitudes.infrastructure.config,StorageProperties,18,0,0,0,1,0,1,0,1,0
traceability-solicitudes-service,com.traceability.solicitudes.application.service,MetricService,0,38,0,0,0,9,0,2,0,2
traceability-solicitudes-service,com.traceability.solicitudes.application.service,FileService,0,91,0,2,0,21,0,7,0,6
traceability-solicitudes-service,com.traceability.solicitudes.application.service,CacheService,0,6,0,0,0,4,0,4,0,4
traceability-solicitudes-service,com.traceability.solicitudes.application.service,NotificationService,0,13,0,0,0,5,0,2,0,2
traceability-solicitudes-service,com.traceability.solicitudes.application.service,SolicitudService,0,143,0,0,0,31,0,7,0,7
traceability-solicitudes-service,com.traceability.solicitudes.application.service,AuditService,0,42,0,0,0,12,0,4,0,4
traceability-solicitudes-service,com.traceability.solicitudes.presentation.dto.metrics,MetricaResumenResponse,15,0,0,0,1,0,1,0,1,0
traceability-solicitudes-service,com.traceability.solicitudes.infrastructure.persistence.jpa.entity,SolicitudEntity,84,0,0,0,27,0,11,0,11,0
traceability-solicitudes-service,com.traceability.solicitudes.infrastructure.persistence.jpa.entity,ArchivoAdjuntoEntity,56,0,0,0,18,0,4,0,4,0
traceability-solicitudes-service,com.traceability.solicitudes.infrastructure.persistence.jpa.entity,AuditLogEntity,18,0,0,0,8,0,2,0,2,0
traceability-solicitudes-service,com.traceability.solicitudes.presentation.dto.file,ArchivoResponse,18,0,0,0,1,0,1,0,1,0
traceability-solicitudes-service,com.traceability.solicitudes.presentation.dto.solicitud,CreateSolicitudRequest,12,0,0,0,1,0,1,0,1,0
traceability-solicitudes-service,com.traceability.solicitudes.presentation.dto.solicitud,UpdateEstadoRequest,6,0,0,0,1,0,1,0,1,0
traceability-solicitudes-service,com.traceability.solicitudes.presentation.dto.solicitud,SolicitudResponse,24,0,0,0,1,0,1,0,1,0
traceability-solicitudes-service,com.traceability.solicitudes.presentation.controller,FileController,64,0,2,0,15,0,5,0,4,0
traceability-solicitudes-service,com.traceability.solicitudes.presentation.controller,MetricsController,16,0,0,0,5,0,2,0,2,0
traceability-solicitudes-service,com.traceability.solicitudes.presentation.controller,SolicitudController,72,0,4,0,14,0,8,0,6,0
traceability-solicitudes-service,com.traceability.solicitudes.application.command,CreateSolicitudCommand,0,12,0,0,0,1,0,1,0,1
